body,country,farm,flavor,gram,name,per_1g,price,process,roast,url,variety,lat,lon
ホブソン・ヴィレラさんは、アグア・リンパ農園とアルタ・ヴィスタ農園を所有しています。ホブソンさんの所有となる前からアグア・リンパ農園にはスペシャルティコーヒー作りの歴史があり、この地域におけるパイオニア的な農園です。  ホブソンさんはもともと歯科医で、コーヒー栽培を始めたのは2000年になってからです。現在では、農園の仕事と生産処理や品質に関する勉強の日々を送っています。彼はまずアルタ・ヴィスタ農園を手に入れ、時間をかけて徐々に生産処理についての理解を深め、生産量を増やしてきました。  ホブソンさんは常に農園の従業員たちと、透明性や信頼性、そして何よりも友情のある関係を築くことを目標にしています。「毎日従業員たちの意見を聞いています。私は重要な決断を自分ひとりですることはありません。地元で生まれた従業員たちはコーヒーのことをよく分かっているのです。私はいつも彼らから学んでいます。」とホブソンさんは話します。このホブソンさんと従業員たちの関係性が、農園の効率性、品質、生産性によい影響を与えています。,ブラジル,アグア・リンパ,オレンジ、プルーン、滑らかな口当たり。 ,500,マルケンの恩返し ﾎﾌﾞｿﾝ･ｳﾞｨﾚﾗ ﾅﾁｭﾗﾙ ｱｸﾞｱ･ﾘﾝﾊﾟ,3.888,1944,ナチュラル,中煎り,https://www.maruyamacoffee.com/ec/products/detail/726,イエローブルボン,-15.794392,-47.882004
ムリシュ・ウォッシングステーションは2014年に創設された新しい生産処理場です。このウォッシングステーションは、比較的新しい施設ではありますが、運営を担うテスティ・トレーディングは経験豊富な会社です。ムリシュ・ウォッシングステーションはシャキソ・ウォレダに位置し、ダンビ・ウッドの丘や山々に囲まれています。およそ850名ほどの小規模生産者たちがそれぞれ2～5haの農地を持っており、自分たちの収穫したコーヒーをこのウォッシングステーションに持ち込みます。  同ウォッシングステーションは優れた設備を持っており、収穫期には280トン以上の生豆を処理する能力があります。果肉除去機、フローテーションタンク（チェリーの選別のための水を張ったタンク）、高床式乾燥ベッドなど、そのときの収穫分を処理するだけの十分な設備があるため、日々のオペレーションはスムーズです。洗浄が終わったコーヒーは36時間から48時間ほど発酵させられ、最長で12日間乾燥させられます。ナチュラル処理の場合は、乾燥のために15～18日間にわたってアフリカンベッドにコーヒーチェリーが敷き詰められます。,エチオピア,,白ぶどう、チョコレートの風味。 ,100,ディカフェ ダンビ・ウッド,7.88,788,フーリーウォッシュト/ディカフェ/アフリカンベッドで乾燥,中煎り,https://www.maruyamacoffee.com/ec/products/detail/395,在来種,8.980603,38.757761
"カリブス・ラ・シエラ農園があるサン・アグスティン・アカサグアストランは、ラス・ミナス山脈の麓に位置しています。ラス・ミナス山脈は総面積が2,426㎢ほどで、豊かで複雑な生物多様性やマイクロクライメイト(微気候)を持っています。ラス・ミナスとは「鉱山」という意味で、ヒスイや大理石など、採掘される鉱物に由来しています。  1990年、グアテマラ政府はこの山脈内に143,000エーカー(約578㎢)の生物保護区を設けることを決定し、現在では国内外のNGOがその管理にあたっています。  カリブス・ラ・シエラの歴史は、ラス・ミナス山脈に保護区ができる以前の1982年7月3日に始まりました。同農園は単なる農園ではなく、野生生物やその生息地と調和したコーヒー栽培地となっており、コーヒー作りのほとんどの行程は保護区との緩衝地帯の中で行われています。  同農園では熟れたコーヒーチェリーだけを収穫し、敷地の中にある水源から引いた水でチェリーを洗浄します。その後、農園の生産処理施設で生産処理を行います。カリブス・ラ・シエラ農園は、サスティナビリティや生態系を守ることに力を入れています。",グァテマラ,カリブス・ラ・シエラ,ピーチ、ラズベリー、ブラックティーの風味。 シルクのような質感。透明感のある味わい。 ,80,ポンページョ・カスティージョ 2019年グアテマラCOE2位,28.35,2268,ウォッシュト,中煎り,https://www.maruyamacoffee.com/ec/products/detail/496,ゲイシャ,14.634915,-90.506882
"ガテュクザ・コーヒーウォッシングステーションは、ンゴジ県シキロ地区に本社を置くEts  NDUWAYEZU  Therence社が所有するコーヒー生産処理場です。同ステーションでは2008年の操業開始当時から良質なコマーシャルコーヒーを生産してきましたが、2013～2014年の収穫期からはスペシャルティコーヒーの生産も開始しました。ガテュクザ・コーヒーウォッシングステーションはブルンディ北部のンゴジ県ガシカンワ地区のガテュクザ村に位置しています。このウォッシングステーションには、ガテュクザ村をはじめ、近隣の村々の、およそ1,500名ほどの生産者からコーヒーが持ち込まれます。一人あたりの生産者が所有するコーヒーの木は300本ほどです。各生産者は、コーヒーの収穫量を増やすために、ブルンディのコーヒー関連機関やガテュクザ・コーヒーウォッシングステーションの助けも借りて、新たなコーヒーの苗を植えて栽培面積を広げています。",ブルンディ,,メロン、ピーチ、ブラウンシュガーの風味。きめ細かい質感。透明感のある味わい。 ,80,エツ・ンドゥウェズ・テレンス 2019年ブルンディCOE1位,27.0,2160,ナチュラル,中煎り,https://www.maruyamacoffee.com/ec/products/detail/518,ブルボン,0.0,0.0
1997年、グリマネス・モラレスさんは自分の農園の中に新しい品種のコーヒーがあるのを発見しました。一見、普通のコーヒーの木と変わらなかったため、当初彼女は特に気に留めていませんでしたが、2011年に農園が「オホ・デ・ポジョ」という病気に襲われた際、農園中が被害を受けたにも関わらず、97年に見つけた新品種だけがその病気への耐性を持ち、生き残っていました。その時から彼女はその品種だけに絞ってコーヒーを栽培することを決め、義理のお父さんの名前を取ってその品種に「マーシェル」と名付けました。  2019年のペルー  カップ・オブ・エクセレンス後、この「マーシェル」は品種の特定のために研究機関に送られ、検査の結果、コスタリカ95という品種であることが特定されました。  COEで優勝したことについて、グリマネスさんは「COEのような品評会に参加できるとは思ってもみなかった」と話しています。,ペルー,ラ・ルクマ,ジャスミン、マンダリンオレンジ、グレープ、シナモンの風味。 きめ細かい質感。 ,80,グリマネス・モラレス 2019年ペルーCOE1位,27.0,2160,ウォッシュト,中煎り,https://www.maruyamacoffee.com/ec/products/detail/550,コスタリカ,-12.046373,-77.042754
この地域でのスペシャルティコーヒー栽培の普及を受け、アンドレ・ルイスさんは、親戚から土地の一部を借り受けて、スペシャルティコーヒーの生産に力を入れることを決めました。  それ以降アンドレさん家族は、品評会に参加するなどして、自分たちのコーヒーに更なる付加価値を与えるために継続的に品質を追求してきました。収穫したコーヒーの中から最も優れたものを品評会に出し、見事、2019年ブラジルCOEで1位の成績を残しました。アンドレさんは、2019年現在、ブラジルのカップ・テイスターズのチャンピオンでもあります。  パイ・エ・フィーリョ農園では、収穫用の機械を使った選別方式でコーヒーの収穫を行います。この収穫機は、熟したチェリーだけを摘み取りながら畑の中を3回通過します。アンドレさんの義理の兄弟と甥であるルイスマールさんとマルコ・アウレリオさんが、農園の管理を任されています。収穫期には、バイーア州からやってくる季節労働者たちが、機械が入れない場所で手摘み収穫を手伝います。そして、生産処理の責任者は妻のリリアンさんです。  最終的な品質確認はアンドレさん自身が行います。同農園では、品種の選択から生産処理に至るまで、常に  細心の注意が払われています。,ブラジル,パイ・エ・フィーリョ,レーズン、チェリー、フローラル、カカオニブの風味。 ,80,アンドレ・ルイス 2019年ブラジルCOE1位,50.625,4050,ナチュラル,中煎り,https://www.maruyamacoffee.com/ec/products/detail/617,イエローカトゥアイ,-15.794392,-47.882004
ラス・ラデラス農園は、ロス・ボルカネスとセロ・ベルデという2つの国立公園に囲まれた場所にあります。農園主のフェルナンド・リマさんはラス・ラデラス農園以外にも、サンタ・エレナ農園、カンパヌラ農園など複数の農園を所有し、高品質コーヒーの生産に取り組んでいます。フェルナンドさんと丸山珈琲とのお付き合いは、2003年に開催された第1回エルサルバドルCOEで丸山珈琲が彼のコーヒーを落札した時から始まりました。  2005年にサンタ・アナ火山が噴火した際、ラス・ラデラス農園は火山灰に覆われました。これを境に、ラス・ラデラス農園は全面的に有機栽培へ切り替えを行いました。この時、もともと農園内に生えていたシェードツリーが植え直され、あわせてクルミやヒノキ、ジャカランダといった木も植えられました。これらの木々が農園内に広大な林を形成し、コーヒーの生育に好ましい日陰を生み出しています。森林伐採が進むなか、ラス・ラデラス農園のように天然の日陰を持つコーヒー農園は、エルサルバドルに残された森林のうち、大きな部分を占めています。,エルサルバドル,ラス・ラデラス,ダークチョコレート、オレンジピールの風味。 クリーミーな質感。 ,100,有機ｺｰﾋｰ ﾌｪﾙﾅﾝﾄﾞ･ﾘﾏ ﾊﾟｶﾏﾗ ﾗｽ･ﾗﾃﾞﾗｽ 中深煎り,7.88,788,ウォッシュト,中深煎り,https://www.maruyamacoffee.com/ec/products/detail/645,パカマラ,13.69294,-89.218191
ホブソンさんは2001年にこの農園を購入し、2004年に初めてコーヒーの苗木を植えました。そこから3年ほどでホブソンさんは初めての収穫を上げ、この時のコーヒーを2007年のカップ・オブ・エクセレンスに出品、7位の評価を得ました。  カップ・オブ・エクセレンスでホブソンさんのコーヒーの品質が認められたことでアルタ・ヴィスタ農園は市場でよい評判を得るようになり、売り上げも増えていきました。こうして得た収入で、ホブソンさんは農園の生産処理、農園のワーカーたちの評価方法など、さまざまなところで改善を実施しました。改善活動の一環で間作作物として植えたバナナの木は、農園内の日陰を増やすだけでなく、農園の収入源やワーカーたちの食料にもなっています。  農園から離れた場所に自宅を持ち、農園まで通う生産者が多い中、ホブソンさんは農園の真正面に家を構え、終始農園から離れずにコーヒー生産に真面目に取り組んでおられます。,ブラジル,アルタ・ヴィスタ,レーズン、アプリコット、ハチミツの風味。 ,100,ホブソン・ヴィレラ イエローカトゥアイ ナチュラル,9.88,988,ナチュラル,中煎り,https://www.maruyamacoffee.com/ec/products/detail/646,イエローカトゥアイ,-15.794392,-47.882004
"アグロ・タケシ農園は、標高5,850mのムルラタ山を一望できる、世界でも有数の標高を誇るコーヒー農園です。「タケシ」という農園の名前には、現地の言葉で「人々を目覚めさせる」という意味があり、ムルラタ山からタケシ渓谷へと続くインカ時代から残る小道にちなんで名付けられました。  コーヒーのおいしさを決める要素はたくさんありますが、標高が高いことで果実が熟すのに時間がかかり、風味と甘さが豊かになると考えられています。花から完熟の実になるまで、一般的には6～8か月かかると言われていますが、アグロ・タケシ農園では10～11か月の時間がかかります。同農園のふかふかした土の中にはたくさんの石が埋まっており、この石が日中の日差しで熱を蓄え、朝晩の厳しい寒さからコーヒーの木を守ります。このことが、このような高地でのコーヒー栽培を可能にしました。  また、アグロ・タケシ農園の特殊な農園環境では雨が降ったり止んだりする気候のため、一本の木の中でも花が咲いている箇所や、青い実、赤く熟した実など、さまざまな状態のコーヒーチェリーがあります。木に負担をかけないよう、熟したチェリーのみをその都度収穫し、大変少量ずつ生産処理をおこない、ひとつのロットにします。アグロ・タケシ農園のこの特殊な地理的条件と、完璧な作業の積み重ねが、すばらしい甘さと酸味、豊かな風味や質感を持つコーヒーを生み出しています。",ボリビア,アグロタケシ,アプリコット、ハチミツ、チェリーの風味。シロップの様な質感。バランスの良い味わい。 ,100,カルロス・イトゥラルデ,15.12,1512,ウォッシュト,中煎り,https://www.maruyamacoffee.com/ec/products/detail/664,ティピカ,-16.489689,-68.119294
"アグロ・タケシ農園は、標高5,850mのムルラタ山を一望できる、世界でも有数の標高を誇るコーヒー農園です。「タケシ」という農園の名前には、現地の言葉で「人々を目覚めさせる」という意味があり、ムルラタ山からタケシ渓谷へと続くインカ時代から残る小道にちなんで名付けられました。  コーヒーのおいしさを決める要素はたくさんありますが、標高が高いことで果実が熟すのに時間がかかり、風味と甘さが豊かになると考えられています。花から完熟の実になるまで、一般的には6～8か月かかると言われていますが、アグロ・タケシ農園では10～11か月の時間がかかります。同農園のふかふかした土の中にはたくさんの石が埋まっており、この石が日中の日差しで熱を蓄え、朝晩の厳しい寒さからコーヒーの木を守ります。このことが、このような高地でのコーヒー栽培を可能にしました。  また、アグロ・タケシ農園の特殊な農園環境では雨が降ったり止んだりする気候のため、一本の木の中でも花が咲いている箇所や、青い実、赤く熟した実など、さまざまな状態のコーヒーチェリーがあります。木に負担をかけないよう、熟したチェリーのみをその都度収穫し、大変少量ずつ生産処理をおこない、ひとつのロットにします。アグロ・タケシ農園のこの特殊な地理的条件と、完璧な作業の積み重ねが、すばらしい甘さと酸味、豊かな風味や質感を持つコーヒーを生み出しています。",ボリビア,アグロタケシ,ビターキャラメル、ダークチェリー、オレンジピールの風味。 クリーミーな質感。 ,100,カルロス・イトゥラルデ 深煎り,15.12,1512,ウォッシュト,深煎り,https://www.maruyamacoffee.com/ec/products/detail/665,ティピカ,-16.489689,-68.119294
